IP [Hidden],port,service,banner,country,regname,city,latitude,longitude
1,5672,AMQP,"AMQP",Albania,Tirana District,Tirana,41.3275,19.8189
2,5672,AMQP,"AMQP_x0001__x0001_ ",Albania,,,41,20
3,5672,AMQP,"AMQP",Switzerland,Zurich,Zurich,47.3667,8.55
4,5672,AMQP,"AMQP_x0001__x0001_ ",Austria,Lower Austria,Krems,48.4174,15.5625
5,5672,AMQP,"AMQP   _x0001_",Afghanistan,,,33,65
6,5672,AMQP,"AMQP_x0001__x0001_ ",Argentina,Buenos Aires,La Plata,-34.9314,-57.9489
7,5672,AMQP,"AMQP   _x0001_",Chile,Region del Biobio,Concepción,-36.8333,-73.05
8,5672,AMQP,"AMQP_x0001__x0001_",Pakistan,Punjab,Lahore,31.4888,74.3686
9,5672,AMQP,"AMQP_x0001__x0001_",Congo,,,,25
10,5672,AMQP,"AMQP_x0001__x0001_",Libya,,,25,17
11,5672,AMQP,"AMQP _x0001_",Kyrgyzstan,,,41,75
12,5672,AMQP,"AMQP   _x0001_",Finland,,,60.1708,24.9375
13,5672,AMQP,"",France,,,48.8582,2.3387
14,5672,AMQP,"AMQP   _x0001_",France,,,48.8582,2.3387
15,5672,AMQP,"AMQP _x0001_",Kuwait,,,29.3375,47.6581
16,10001,ATGs Devices,,Switzerland,,,47.1449,8.1551
17,10001,ATGs Devices,,Switzerland,,,47.1449,8.1551
18,10001,ATGs Devices,,Switzerland,Ticino,Ascona,46.1545,8.7733
19,10001,ATGs Devices,,Argentina,San Luis,San Luis,-33.3,-66.35
20,10001,ATGs Devices,,Belgium,Flemish Brabant Province,Overijse,50.7667,4.5333
21,10001,ATGs Devices,,Germany,,,51.2993,9.491
22,10001,ATGs Devices,,Germany,Schleswig-Holstein,Kellinghusen,53.952,9.7196
23,10001,ATGs Devices,,Germany,Hamburg,Hamburg,53.5512,9.9662
24,10001,ATGs Devices,,Canada,Ontario,Sault Ste. Marie,46.5168,-84.3333
25,10001,ATGs Devices,,Canada,British Columbia,Cranbrook,49.4999,-115.7688
26,10001,ATGs Devices,,Republic of Korea,,,37.5112,126.9741
27,10001,ATGs Devices,,Finland,,,60.1708,24.9375
28,10001,ATGs Devices,,France,,,48.8582,2.3387
29,10001,ATGs Devices,,France,,,48.8582,2.3387
30,10001,ATGs Devices,,France,,,48.8582,2.3387
31,10001,ATGs Devices,,Spain,,,40.4172,-3.684
32,10001,ATGs Devices,,United States,Georgia,Covington,33.5968,-83.8602
33,10001,ATGs Devices,,Australia,New South Wales,Abbotsford,-33.8489,151.128
34,10001,ATGs Devices,,Belgium,West Flanders Province,Koekelare,51.0833,2.9667
35,10001,ATGs Devices,,United States,Tennessee,Oneida,36.5101,-84.4693
36,10001,ATGs Devices,,Germany,Hesse,Weiterstadt,49.9039,8.5887
37,10001,ATGs Devices,,Australia,New South Wales,Sans Souci,-33.9979,151.1293
38,10001,ATGs Devices,,Spain,Madrid,Madrid,40.4167,-3.68379999999999
39,10001,ATGs Devices,,Germany,Bavaria,Aschaffenburg,49.9751,9.1314
40,10001,ATGs Devices,,Spain,Saragossa,Zaragoza,41.6561,-0.8773
41,10001,ATGs Devices,,Canada,Ontario,Barrie,44.3572,-79.6929
42,10001,ATGs Devices,,Germany,Bavaria,Kempten (Allgaeu),47.7229,10.3288
43,10001,ATGs Devices,,Turkey,Istanbul,Istanbul,41.0186,28.9647
44,10001,ATGs Devices,,Canada,,,43.6319,-79.3716
45,10001,ATGs Devices,,Germany,Baden-Württemberg Region,Freiburg,47.9809,7.8327
46,10001,ATGs Devices,,United States,Mississippi,Vicksburg,32.2224,-90.8293
47,10001,ATGs Devices,,Israel,Central District,Netanya,32.3329,34.8599
48,10001,ATGs Devices,,Canada,British Columbia,Vernon,50.084,-118.938
49,10001,ATGs Devices,,Australia,Queensland,Wellington Point,-27.4833,153.25
50,10001,ATGs Devices,,Belgium,Antwerp Province,Herenthout,51.15,4.7667
51,10001,ATGs Devices,,Austria,Vienna,Vienna,48.2,16.3667
52,10001,ATGs Devices,,Spain,A Coruña,A Coruña,43.3666,-8.4068
53,10001,ATGs Devices,,United States,California,Patterson,37.4957,-121.2546
54,10001,ATGs Devices,,Spain,Ciudad Real,Ciudad Real,38.9863,-3.9291
55,10001,ATGs Devices,,Italy,Provincia di Brescia,Desenzano del Garda,45.4667,10.5333
56,10001,ATGs Devices,,New Zealand,Marlborough,Blenheim,-41.5456,173.9572
57,10001,ATGs Devices,,Germany,Baden-Württemberg Region,Bietigheim-Bissingen,48.9441,9.1175
58,10001,ATGs Devices,,United States,Delaware,Wilmington,39.7472,-75.5918
59,10001,ATGs Devices,,Belgium,Antwerp Province,Deurne,51.2167,4.4667
60,10001,ATGs Devices,,United States,Missouri,Chesterfield,38.6353,-90.6673
61,10001,ATGs Devices,,United States,Florida,,28.6344,-81.6221
62,10001,ATGs Devices,,Canada,Ontario,Toronto,43.7113,-79.4195
63,10001,ATGs Devices,,United States,New York,Yonkers,40.9513,-73.8773
64,10001,ATGs Devices,,United States,North Carolina,New Bern,35.1427,-77.163
65,10001,ATGs Devices,,Germany,Bavaria,Marzling,48.409,11.7938
66,10001,ATGs Devices,,Turkey,Istanbul,Istanbul,41.0186,28.9647
67,10001,ATGs Devices,,Germany,Lower Saxony,Diepenau,52.4187,8.7176
68,10001,ATGs Devices,,United States,North Carolina,Waynesville,35.6346,-83.023
69,10001,ATGs Devices,,Spain,Valencia,Valencia,39.4667,-0.3667
70,10001,ATGs Devices,,Brazil,,,-22.8305,-43.2192
71,10001,ATGs Devices,,China,Gansu,,36.0564,103.7922
72,10001,ATGs Devices,,China,,,34.7725,113.7266
73,10001,ATGs Devices,,Italy,Provincia di Treviso,Mogliano Veneto,45.5559,12.2429
74,10001,ATGs Devices,,China,Guangdong,,23.1167,113.25
75,10001,ATGs Devices,,United States,,,37.751,-97.822
76,10001,ATGs Devices,,United States,California,Corona,33.9096,-117.6123
77,10001,ATGs Devices,,Brazil,Parana,Palmas,-26.4057,-51.8203
78,10001,ATGs Devices,,Germany,Bavaria,Marzling,48.409,11.7938
79,10001,ATGs Devices,,Peru,Lima,Lima,-12.05,-77.05
80,10001,ATGs Devices,,China,Zhejiang,,30.2936,120.1614
81,10001,ATGs Devices,,Poland,Greater Poland,Poznan,52.4529,16.9476
82,10001,ATGs Devices,,Portugal,Évora,Evora,38.5667,-7.9
83,10001,ATGs Devices,,Germany,Thuringia,Soemmerda,51.1591,11.1152
84,10001,ATGs Devices,,Belgium,Flemish Brabant Province,Kapelle-op-den-Bos,50.9412,4.386
85,10001,ATGs Devices,,Germany,North Rhine-Westphalia,Dortmund,51.5251,7.5475
86,10001,ATGs Devices,,Germany,Bavaria,Munich,48.15,11.5833
87,10001,ATGs Devices,,Spain,Tarragona,Reus,41.1561,1.1069
88,10001,ATGs Devices,,Italy,Milan,Milan,45.4667,9.2
89,10001,ATGs Devices,,United States,Nebraska,Lincoln,40.8057,-96.6444
90,10001,ATGs Devices,,United States,Georgia,Covington,33.5968,-83.8602
91,10001,ATGs Devices,,United States,Michigan,Hastings,42.6318,-85.2931
92,10001,ATGs Devices,,Turkey,Kayseri,Kayseri,38.6323,35.8791
93,10001,ATGs Devices,,Austria,,,48.2,16.3667
94,10001,ATGs Devices,,Belgium,Limburg Province,Hasselt,50.9333,5.3333
95,10001,ATGs Devices,,United States,Mississippi,Southaven,34.9489,-89.9665
96,10001,ATGs Devices,,United States,West Virginia,West Hamlin,38.2883,-82.1173
97,10001,ATGs Devices,,Canada,,,43.6319,-79.3716
98,10001,ATGs Devices,,Germany,North Rhine-Westphalia,Bochum,51.4833,7.2167
99,10001,ATGs Devices,,Germany,,,51.2993,9.491
100,10001,ATGs Devices,,Spain,Valencia,Valencia,39.4667,-0.3667
101,10001,ATGs Devices,,Germany,Land Berlin,Berlin,52.5305,13.4053
102,10001,ATGs Devices,,Poland,Mazovia,Nowy Dwor Mazowiecki,52.4325,20.718
